group	n	mae	mape	batch
South King County Region	6986	6.045883462664872	0.34383046039720483	xgb_15min_summer
East King County Region	6165	5.806357311221128	0.37103596276733536	xgb_15min_summer
North King County Region	1883	5.45906110387246	0.3597696886062733	xgb_15min_summer
Winter	0			xgb_15min_summer
Express Region	12355	17.654874487282147	0.47580955379823625	xgb_15min_combined
RapidRide	7623	16.036783283188104	0.3498399936832532	xgb_15min_combined
high frequency route	18900	10.641479168805496	0.2854482649260898	xgb_15min_combined
Evening Peak	14190	10.202344335721696	0.2882956231309959	xgb_15min_combined
EW route	15931	9.589530256807928	0.3753576995115138	xgb_15min_combined
Morning Peak	16918	8.689216788542414	0.3109274049839424	xgb_15min_combined
Summer	39305	8.655553902825726	0.36458250443414647	xgb_15min_combined
Weekday	55933	8.45886590252096	0.3336159603575012	xgb_15min_combined
Conventional Type	53849	8.138904286811416	0.33461342875511507	xgb_15min_combined
Midday	14599	7.8946848888578165	0.27459343349191045	xgb_15min_combined
Trolley Type	14027	7.646646537881555	0.3461374366756839	xgb_15min_combined
NS route	51945	7.561085020813656	0.32521357689836894	xgb_15min_combined
Early Morning	1608	7.539039801935948	1.0681006922724778	xgb_15min_combined
med frequency route	37238	7.451915128185655	0.3496061068383357	xgb_15min_combined
Winter	28571	7.186476559336646	0.2989737661829521	xgb_15min_combined
Non-RapidRide	60253	7.025093671014382	0.33535764798926376	xgb_15min_combined
Seattle Region	30844	6.412706418311475	0.28788845627464565	xgb_15min_combined
Weekend Morning	651	6.312346916319588	0.6707225027833525	xgb_15min_combined
Night	8618	6.263289635565696	0.4183553081516035	xgb_15min_combined
Weekend Evening	10266	6.094118287171765	0.32052950132582675	xgb_15min_combined
Weekend	11943	6.062264205113254	0.35281540129381667	xgb_15min_combined
South King County Region	11335	5.760351051982405	0.3350397869643166	xgb_15min_combined
low frequency route	11738	5.7005449048876455	0.3803326019904081	xgb_15min_combined
Weekend Peak	1026	5.584858891850094	0.4766147654308532	xgb_15min_combined
North King County Region	3283	4.889973396249853	0.30058199843742495	xgb_15min_combined
East King County Region	10059	4.798142463116964	0.33092292595637735	xgb_15min_combined
RapidRide	4940	75.59951966060109	1.7711733918947965	svm_30min_combined
Express Region	8651	73.6758910286949	2.318106320974091	svm_30min_combined
high frequency route	11712	37.33841940612857	0.7555114128608779	svm_30min_combined
EW route	12369	33.12335875431357	1.2982029225547411	svm_30min_combined
Weekend Morning	602	29.131728190954696	1.9643102991181254	svm_30min_combined
Early Morning	1398	28.10252624922435	1.919250614444846	svm_30min_combined
Midday	11018	23.902242866799206	0.6413015927655459	svm_30min_combined
Conventional Type	43699	23.4694771704874	0.8254009844095266	svm_30min_combined
Evening Peak	10592	22.78109818034617	0.48635705940555785	svm_30min_combined
Summer	30760	22.665986481350348	0.7406950554549627	svm_30min_combined
Weekday	42862	22.454062015695115	0.7054625060870127	svm_30min_combined
Weekend Peak	903	21.62973962422823	1.2629401389610442	svm_30min_combined
Night	7093	21.082272565387235	1.017238163729516	svm_30min_combined
Morning Peak	12761	21.07591969919258	0.6394900618946566	svm_30min_combined
Winter	22311	21.0436622908822	0.7660129499530978	svm_30min_combined
Weekend	10209	20.010274015230227	0.9443173772103483	svm_30min_combined
med frequency route	30649	19.51892956409346	0.7920706558587778	svm_30min_combined
Weekend Evening	8704	19.21138926583784	0.8418436311006742	svm_30min_combined
NS route	40702	18.598792912046207	0.5846912280783602	svm_30min_combined
Non-RapidRide	48131	16.481046859920635	0.6461919668030569	svm_30min_combined
North King County Region	3055	15.770001584456457	0.8713133866481027	svm_30min_combined
Trolley Type	9372	15.0574275144132	0.40527563069681405	svm_30min_combined
East King County Region	8909	13.496112817226832	0.7087888487970585	svm_30min_combined
low frequency route	10710	12.247213188023448	0.6298325416530689	svm_30min_combined
South King County Region	10265	11.526310539913244	0.38336571880136244	svm_30min_combined
Seattle Region	22191	10.932763671198781	0.30919674977070694	svm_30min_combined
Express Region	3657	41.05136193018145	1.3205000825972573	svm_30min_winter
RapidRide	2083	37.36925909713096	0.8380224785571702	svm_30min_winter
high frequency route	5215	22.444929505734272	0.4494933448677417	svm_30min_winter
EW route	5107	19.803119760171963	0.8123526990438681	svm_30min_winter
Morning Peak	5381	16.994124291887474	0.5677979812519056	svm_30min_winter
Evening Peak	4399	16.631320701728196	0.3952114281907434	svm_30min_winter
Weekday	18025	15.793434074678887	0.580653466483468	svm_30min_winter
Early Morning	586	15.69141909435901	1.4955563103913239	svm_30min_winter
Midday	4645	15.443867685885127	0.5084963339135358	svm_30min_winter
Conventional Type	18209	15.253609172597383	0.6303218955060921	svm_30min_winter
Winter	22386	14.9051148987827	0.5966799001374054	svm_30min_winter
NS route	17279	13.457455264132836	0.5327768486095645	svm_30min_winter
Trolley Type	4177	13.38590679921564	0.4496098257891601	svm_30min_winter
Weekend Peak	384	13.355088861306376	0.8581927960677306	svm_30min_winter
med frequency route	12991	13.344362521706902	0.6247775613723762	svm_30min_winter
Night	3014	12.985451102955313	0.815208183654422	svm_30min_winter
Weekend Morning	276	12.642743217972312	1.3148181459291917	svm_30min_winter
Non-RapidRide	20303	12.600390849865816	0.571764571255591	svm_30min_winter
Weekend	4361	11.23349069664355	0.6630243769283183	svm_30min_winter
Weekend Evening	3701	10.908268488830183	0.5949962559168096	svm_30min_winter
Seattle Region	9744	10.850608688476928	0.4107643910694828	svm_30min_winter
low frequency route	4180	10.349038572308816	0.694061443728667	svm_30min_winter
South King County Region	4008	10.309623798242544	0.5985130082192524	svm_30min_winter
North King County Region	1365	8.566739564481264	0.4544882908755334	svm_30min_winter
East King County Region	3612	6.8654952370109745	0.413447506125993	svm_30min_winter
Summer	0			svm_30min_winter
RapidRide	2873	89.23211691577353	1.9843060048193522	svm_30min_summer
Express Region	4970	85.4247874525211	2.5737760943470107	svm_30min_summer
high frequency route	6783	43.83108571866311	0.8687117662513492	svm_30min_summer
EW route	7385	36.056432983112224	1.328568494193774	svm_30min_summer
Early Morning	807	32.81947565826367	2.2555740709987218	svm_30min_summer
Weekend Morning	347	30.43431294526329	1.9750479601603954	svm_30min_summer
Conventional Type	25992	25.097620404921983	0.8119712474544419	svm_30min_summer
