stop_id	stop_name
70002	JUANITA DR NE & NE 163RD ST (70002)
57451	KENT SOUNDER STATION BAY #1 (57451)
59842	SOUTH RENTON PARK & RIDE BAY #1 (59842)
29455	NE 45TH ST & 9TH AVE NE (29455)
57452	KENT SOUNDER STATION BAY #2 (57452)
50480	PACIFIC HWY S & KENT DES MOINES RD (50480)
62079	SE 264TH ST & 242ND AVE SE (62079)
61999	49TH AVE NE & 42ND ST NE (61999)
59312	ANDOVER PARK W & BAKER BLVD BAY #1 (59312)
47260	HIGHLINE COLLEGE RDWY & S 240TH ST (47260)
60453	LAKE MERIDIAN PARK AND RIDE (60453)
47404	S 216TH ST & 20TH AVE S (47404)
50468	16TH AVE S & 17TH PL S (50468)
47413	S 216TH ST & 11TH AVE S (47413)
47412	S 216TH ST & WESLEY TERRACE ENTRANCE (47412)
40805	FEDERAL CENTER SOUTH ACS & S ALASKA ST (40805)
59882	TUKWILA STATION ACS & S LONGACRES WAY (59882)
57459	KENT SOUNDER STATION BAY #9 (57459)
45305	RENTON TRANSIT CENTER BAY #7 (45305)
57454	KENT SOUNDER STATION BAY #4 (57454)
60747	S 276TH ST BAY #1 (60747)
61870	SW 320TH ST & 21ST AVE SW (61870)
59033	GRIFFIN AVE & ROOSEVELT AVE E (59033)
57453	KENT SOUNDER STATION BAY #3 (57453)
60161	SE 177TH ST & 140TH AVE SE (60161)
52353	BAKER ST & 3RD AVE (52353)
570	3RD AVE & UNION ST (570)
52305	BURIEN TRANSIT CENTER BAY #5 (52305)
30635	4TH AVE S & S ROYAL BROUGHAM WAY (30635)
79876	SE 36TH ST & 142ND PL SE (79876)
73152	148TH AVE NE & NE 61ST ST (73152)
48460	1ST AVE S & SW 143RD ST (48460)
48451	1ST AVE S & SW 140TH ST (48451)
48440	1ST AVE S & SW 138TH ST (48440)
48430	1ST AVE S & SW 136TH ST (48430)
48410	1ST AVE S & SW 130TH PL (48410)
48398	1ST AVE S & SW 128TH ST (48398)
48370	1ST AVE S & SW 119TH ST (48370)
48360	1ST AVE S & SW 116TH ST (48360)
48346	1ST AVE S & SW 112TH ST (48346)
48330	SW 112TH ST & 2ND LN SW (48330)
48280	4TH AVE SW & SW 102ND ST (48280)
49585	8TH AVE SW & SW 102ND ST (49585)
21104	8TH AVE SW & SW 99TH ST (21104)
51972	8TH AVE SW & SW CAMBRIDGE ST (51972)
51960	9TH AVE SW & SW TRENTON ST (51960)
51940	9TH AVE SW & SW THISTLE ST (51940)
51920	9TH AVE SW & SW KENYON ST (51920)
51910	HIGHLAND PARK WAY SW & SW HOLDEN ST (51910)
51879	HIGHLAND PARK WAY SW & WEST MARGINAL WAY S (51879)
51930	9TH AVE SW & SW ELMGROVE ST (51930)
51900	HIGHLAND PARK WAY SW & SW OTHELLO ST (51900)
51890	HIGHLAND PARK WAY SW & SW OTHELLO ST (51890)
51877	HIGHLAND PARK WAY SW & 2ND AVE SW (51877)
51870	S MICHIGAN ST & EAST MARGINAL WAY S (51870)
45960	4TH AVE S & S FRONT ST (45960)
45940	4TH AVE S & S MEAD ST (45940)
45920	4TH AVE S & S BRANDON ST (45920)
45910	4TH AVE S & S DAWSON ST (45910)
45900	4TH AVE S & DIAGONAL AVE S (45900)
45880	4TH AVE S & DIAGONAL AVE S (45880)
45870	4TH AVE S & S SPOKANE ST (45870)
30748	4TH AVE S & S HORTON ST (30748)
30720	4TH AVE S & S LANDER ST (30720)
30700	4TH AVE S & S WALKER ST (30700)
30690	4TH AVE S & S HOLGATE ST (30690)
47790	1ST AVE S & S 134TH ST (47790)
47780	1ST AVE S & S 136TH ST (47780)
47770	1ST AVE S & S 138TH ST (47770)
47760	1ST AVE S & S 140TH ST (47760)
47750	1ST AVE S & S 143RD ST (47750)
47740	1ST AVE S & S 146TH ST (47740)
47840	1ST AVE S & S 120TH ST (47840)
47820	1ST AVE S & S 124TH ST (47820)
47809	1ST AVE S & S 128TH ST (47809)
59316	ANDOVER PARK W & BAKER BLVD BAY #4 (59316)
37130	CALIFORNIA AVE SW & SW HILL ST (37130)
80519	NE 120TH ST & 131ST LN NE (80519)
21430	DUMAR WAY SW & SW ORCHARD ST (21430)
