group	n	mae	mape	batch
North King County Region	3077	4.163285075514046	0.2214438606265461	final_nn_30min
Express Region	4934	29.267339531303563	0.39748762177106484	final_nn_hr
RapidRide	2724	27.423676832481977	0.25429252552480125	final_nn_hr
high frequency route	6666	18.59976369033445	0.21172456162847023	final_nn_hr
Evening Peak	6594	15.877496884886627	0.20573654492353147	final_nn_hr
EW route	7963	14.088175998116713	0.31813423783207784	final_nn_hr
Morning Peak	8127	12.382459747346841	0.22896112150878462	final_nn_hr
Summer	19930	12.302248926038306	0.28648298768786906	final_nn_hr
Weekday	27199	12.06709228352092	0.2553929322511978	final_nn_hr
Trolley Type	5546	11.79913933338175	0.24187744694946753	final_nn_hr
Midday	6525	11.796544033430544	0.23539503919182483	final_nn_hr
Conventional Type	28712	11.07895403612155	0.2696400786619391	final_nn_hr
med frequency route	19007	10.682999179597441	0.2725159863296266	final_nn_hr
NS route	26295	10.31955921487179	0.24906279387019623	final_nn_hr
Non-RapidRide	31534	9.793710259921868	0.26609633789535764	final_nn_hr
Seattle Region	13818	9.6837713023415	0.22112852920605944	final_nn_hr
Winter	14328	9.656137209108993	0.23548895013576612	final_nn_hr
Weekend Evening	5972	8.059171092805652	0.27097895926315013	final_nn_hr
Night	4746	7.931275603945025	0.3186135337100963	final_nn_hr
Weekend	7059	7.83738659988265	0.3028241394103495	final_nn_hr
East King County Region	5810	6.875336185215673	0.27647436052630747	final_nn_hr
Early Morning	1207	6.851776602649451	0.5698084289550249	final_nn_hr
South King County Region	7488	6.805628061549276	0.2538456197837831	final_nn_hr
Weekend Morning	504	6.717845650892409	0.6558413118452739	final_nn_hr
low frequency route	8585	6.581149081150737	0.29051684942929273	final_nn_hr
Weekend Peak	583	6.5333585493765	0.3314322529561482	final_nn_hr
North King County Region	2208	6.528670182910519	0.25248301073027807	final_nn_hr
Express Region	8651	25.016728149395625	0.5470014169286697	xgb_30min_combined
RapidRide	4940	22.07730082931668	0.33764856371410323	xgb_30min_combined
high frequency route	11712	15.270829856731607	0.2796634941802338	xgb_30min_combined
Evening Peak	10592	13.541040871146043	0.2920239421238695	xgb_30min_combined
EW route	12369	12.884454699411322	0.42752628858552816	xgb_30min_combined
Morning Peak	12761	11.359858225212792	0.32271436954727684	xgb_30min_combined
Summer	30760	11.06986203958875	0.39616505547780206	xgb_30min_combined
Weekday	42862	10.791580341012017	0.3560533723677445	xgb_30min_combined
Trolley Type	9372	10.353444825185322	0.35136693484926995	xgb_30min_combined
Conventional Type	43699	10.09251297851684	0.36122007563352504	xgb_30min_combined
Midday	11018	9.842012389112154	0.30474206155656836	xgb_30min_combined
med frequency route	30649	9.420299480195077	0.3751719387583134	xgb_30min_combined
NS route	40702	9.3041469552559	0.3387495702413122	xgb_30min_combined
Non-RapidRide	48131	8.913243927053664	0.3617337346379507	xgb_30min_combined
Winter	22311	8.854657039670759	0.3088187416175935	xgb_30min_combined
Early Morning	1398	8.427166761417416	1.1368853244314474	xgb_30min_combined
Seattle Region	22191	8.40247249603943	0.30773480080121357	xgb_30min_combined
Weekend Peak	903	7.6494632522397135	0.5375403202832508	xgb_30min_combined
Night	7093	7.60445357699682	0.44054077986584017	xgb_30min_combined
Weekend Morning	602	7.594941154963946	0.6603068855178914	xgb_30min_combined
Weekend	10209	7.39705093284232	0.3739132587871407	xgb_30min_combined
Weekend Evening	8704	7.357177513939164	0.33743987296715744	xgb_30min_combined
low frequency route	10710	6.581745238030324	0.4022065709900071	xgb_30min_combined
South King County Region	10265	6.439057878520624	0.32252500132532674	xgb_30min_combined
East King County Region	8909	5.876805536573564	0.3591075744616977	xgb_30min_combined
North King County Region	3055	5.47719722470168	0.3277489771760359	xgb_30min_combined
Express Region	12355	17.654874487282147	0.47580955379823625	xgb_15min_combined
RapidRide	7623	16.036783283188104	0.3498399936832532	xgb_15min_combined
high frequency route	18900	10.641479168805496	0.2854482649260898	xgb_15min_combined
Evening Peak	14190	10.202344335721696	0.2882956231309959	xgb_15min_combined
EW route	15931	9.589530256807928	0.3753576995115138	xgb_15min_combined
Morning Peak	16918	8.689216788542414	0.3109274049839424	xgb_15min_combined
Summer	39305	8.655553902825726	0.36458250443414647	xgb_15min_combined
Weekday	55933	8.45886590252096	0.3336159603575012	xgb_15min_combined
Conventional Type	53849	8.138904286811416	0.33461342875511507	xgb_15min_combined
Midday	14599	7.8946848888578165	0.27459343349191045	xgb_15min_combined
Trolley Type	14027	7.646646537881555	0.3461374366756839	xgb_15min_combined
NS route	51945	7.561085020813656	0.32521357689836894	xgb_15min_combined
Early Morning	1608	7.539039801935948	1.0681006922724778	xgb_15min_combined
med frequency route	37238	7.451915128185655	0.3496061068383357	xgb_15min_combined
Winter	28571	7.186476559336646	0.2989737661829521	xgb_15min_combined
Non-RapidRide	60253	7.025093671014382	0.33535764798926376	xgb_15min_combined
Seattle Region	30844	6.412706418311475	0.28788845627464565	xgb_15min_combined
Weekend Morning	651	6.312346916319588	0.6707225027833525	xgb_15min_combined
Night	8618	6.263289635565696	0.4183553081516035	xgb_15min_combined
Weekend Evening	10266	6.094118287171765	0.32052950132582675	xgb_15min_combined
Weekend	11943	6.062264205113254	0.35281540129381667	xgb_15min_combined
South King County Region	11335	5.760351051982405	0.3350397869643166	xgb_15min_combined
low frequency route	11738	5.7005449048876455	0.3803326019904081	xgb_15min_combined
Weekend Peak	1026	5.584858891850094	0.4766147654308532	xgb_15min_combined
North King County Region	3283	4.889973396249853	0.30058199843742495	xgb_15min_combined
East King County Region	10059	4.798142463116964	0.33092292595637735	xgb_15min_combined
RapidRide	4940	75.59951966060109	1.7711733918947965	svm_30min_combined
Express Region	8651	73.6758910286949	2.318106320974091	svm_30min_combined
high frequency route	11712	37.33841940612857	0.7555114128608779	svm_30min_combined
EW route	12369	33.12335875431357	1.2982029225547411	svm_30min_combined
Weekend Morning	602	29.131728190954696	1.9643102991181254	svm_30min_combined
Early Morning	1398	28.10252624922435	1.919250614444846	svm_30min_combined
Midday	11018	23.902242866799206	0.6413015927655459	svm_30min_combined
Conventional Type	43699	23.4694771704874	0.8254009844095266	svm_30min_combined
Evening Peak	10592	22.78109818034617	0.48635705940555785	svm_30min_combined
Summer	30760	22.665986481350348	0.7406950554549627	svm_30min_combined
Weekday	42862	22.454062015695115	0.7054625060870127	svm_30min_combined
Weekend Peak	903	21.62973962422823	1.2629401389610442	svm_30min_combined
Night	7093	21.082272565387235	1.017238163729516	svm_30min_combined
Morning Peak	12761	21.07591969919258	0.6394900618946566	svm_30min_combined
Winter	22311	21.0436622908822	0.7660129499530978	svm_30min_combined
Weekend	10209	20.010274015230227	0.9443173772103483	svm_30min_combined
med frequency route	30649	19.51892956409346	0.7920706558587778	svm_30min_combined
Weekend Evening	8704	19.21138926583784	0.8418436311006742	svm_30min_combined
NS route	40702	18.598792912046207	0.5846912280783602	svm_30min_combined
Non-RapidRide	48131	16.481046859920635	0.6461919668030569	svm_30min_combined
North King County Region	3055	15.770001584456457	0.8713133866481027	svm_30min_combined
Trolley Type	9372	15.0574275144132	0.40527563069681405	svm_30min_combined
East King County Region	8909	13.496112817226832	0.7087888487970585	svm_30min_combined
low frequency route	10710	12.247213188023448	0.6298325416530689	svm_30min_combined
South King County Region	10265	11.526310539913244	0.38336571880136244	svm_30min_combined
Seattle Region	22191	10.932763671198781	0.30919674977070694	svm_30min_combined
RapidRide	7623	68.13966284634557	2.015038356662034	svm_15min_combined
Express Region	12355	65.31017449252603	2.325950633410618	svm_15min_combined
high frequency route	18900	31.11849450630131	0.8653233497653151	svm_15min_combined
EW route	15931	28.22460150241951	1.2582271782188155	svm_15min_combined
Weekend Morning	651	25.23680170216364	1.7984247739939483	svm_15min_combined
Early Morning	1608	22.01604962952104	1.712896784791479	svm_15min_combined
Weekend Peak	1026	21.44090858941889	1.3443830393294174	svm_15min_combined
Conventional Type	53849	20.84396283827527	0.8182649230910685	svm_15min_combined
Night	8618	19.75724195798332	0.9949133647242947	svm_15min_combined
Summer	39305	19.52123410554649	0.7284942550854998	svm_15min_combined
Midday	14599	19.480043720802996	0.5757867977800677	svm_15min_combined
Weekend	11943	19.333763783166543	0.9375742772383084	svm_15min_combined
Weekend Evening	10266	18.748841880138873	0.8429997883264766	svm_15min_combined
Weekday	55933	18.607454379222585	0.6647860588672796	svm_15min_combined
Evening Peak	14190	18.36843421040988	0.5089400097565627	svm_15min_combined
Winter	28571	17.653977114448566	0.6909972945668764	svm_15min_combined
Morning Peak	16918	17.145276455205554	0.6067625785206029	svm_15min_combined
NS route	51945	15.824964098957931	0.545290639116209	svm_15min_combined
med frequency route	37238	15.151376288147082	0.6678073571584708	svm_15min_combined
Non-RapidRide	60253	12.484776472171054	0.5472929944772714	svm_15min_combined
Trolley Type	14027	10.640003691247566	0.3064925475819602	svm_15min_combined
low frequency route	11738	10.165904776648409	0.6084622229752854	svm_15min_combined
South King County Region	11335	9.552007121478335	0.4417832100705694	svm_15min_combined
Seattle Region	30844	8.828358246175531	0.2862002223209698	svm_15min_combined
North King County Region	3283	6.349376526370458	0.4185100785351132	svm_15min_combined
East King County Region	10059	6.29762354082777	0.4379221776224212	svm_15min_combined
RapidRide	4940	19.01878711381579	0.2737591075807511	nn_30min_combined
Express Region	8651	18.80005457912958	0.3416395762872306	nn_30min_combined
high frequency route	11712	12.782031356220116	0.20739157960199373	nn_30min_combined
Evening Peak	10592	10.614938027575528	0.19571678605064102	nn_30min_combined
EW route	12369	9.274442298805885	0.26338854148294505	nn_30min_combined
Summer	30760	8.578384675981795	0.25014424011974706	nn_30min_combined
Morning Peak	12761	8.241439031225609	0.2019532413669383	nn_30min_combined
Weekday	42862	8.232059964342309	0.21808762488757188	nn_30min_combined
Midday	11018	7.959431053258305	0.2063601172871281	nn_30min_combined
Trolley Type	9372	7.934601355265684	0.2134778712940415	nn_30min_combined
Conventional Type	43699	7.75846564211149	0.2310850289132821	nn_30min_combined
NS route	40702	7.338329743065452	0.21719166071014895	nn_30min_combined
med frequency route	30649	6.994828308923945	0.23703683414556723	nn_30min_combined
Winter	22311	6.702037621038053	0.19736916656823547	nn_30min_combined
Non-RapidRide	48131	6.637041940826703	0.22326137795627152	nn_30min_combined
Seattle Region	22191	6.587886427682394	0.19330046494813716	nn_30min_combined
Weekend Evening	8704	6.09042622492647	0.25277242901387464	nn_30min_combined
Weekend	10209	5.931797414491135	0.2696082786949475	nn_30min_combined
Weekend Morning	602	5.883160108936877	0.49119163508952857	nn_30min_combined
Early Morning	1398	5.645975815608011	0.467377585204378	nn_30min_combined
Night	7093	5.590024191607218	0.2506114320672418	nn_30min_combined
South King County Region	10265	5.185899543514855	0.22184659552750272	nn_30min_combined
low frequency route	10710	4.6043538666591965	0.22462905420857116	nn_30min_combined
Weekend Peak	903	4.435202167441861	0.28657400686215617	nn_30min_combined
East King County Region	8909	4.331728421085419	0.2178553469891525	nn_30min_combined
North King County Region	3055	4.171714172765958	0.20712175918576398	nn_30min_combined
RapidRide	7623	14.05313387478027	0.26815005054570284	nn_15min_combined
Express Region	12355	14.045001663225413	0.32143005864615304	nn_15min_combined
high frequency route	18900	9.065976040363491	0.21773051560274845	nn_15min_combined
Evening Peak	14190	8.248626938221987	0.20825900433361885	nn_15min_combined
EW route	15931	7.061428095895423	0.2499385150649704	nn_15min_combined
Summer	39305	6.941065664099479	0.24710514671163925	nn_15min_combined
Weekday	55933	6.6535716025521605	0.22354621965009222	nn_15min_combined
Morning Peak	16918	6.593123865503605	0.21246050773467706	nn_15min_combined
Midday	14599	6.500403210584286	0.20739784874618553	nn_15min_combined
Conventional Type	53849	6.470693547292987	0.2261024889639045	nn_15min_combined
NS route	51945	6.186433500162864	0.22204517323044018	nn_15min_combined
Trolley Type	14027	6.088937216332074	0.2381934449176958	nn_15min_combined
med frequency route	37238	5.7806847936191526	0.23604575801948027	nn_15min_combined
Winter	28571	5.636180505905989	0.20309450852453845	nn_15min_combined
Non-RapidRide	60253	5.422516051221018	0.22357143833349397	nn_15min_combined
Weekend Evening	10266	5.27606274185564	0.23805851298349576	nn_15min_combined
Weekend	11943	5.165844320197606	0.252281160834625	nn_15min_combined
Seattle Region	30844	5.131585754776943	0.20097595490403897	nn_15min_combined
Weekend Morning	651	5.110799629032258	0.40096824925749885	nn_15min_combined
Early Morning	1608	5.011328879154229	0.480830096023942	nn_15min_combined
Night	8618	4.711781309653051	0.2507215634355718	nn_15min_combined
South King County Region	11335	4.645907623439788	0.2199803059568088	nn_15min_combined
Weekend Peak	1026	4.097941568937622	0.30139504898456915	nn_15min_combined
low frequency route	11738	4.024690036974783	0.2224962111720036	nn_15min_combined
North King County Region	3283	3.7401439654310082	0.2009455044512286	nn_15min_combined
